user_id,status_id,created_at,text,source
9.97E+17,1.25E+18,2020-04-26T01:31:22Z,"@ianmccall49 @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling In so many ways. it's just easier in the confines of a tweet to abbreviate to the 2 letter ISO code - so both IE and NL resolve their respective pars pro totos.

Except you can't then use UK, because that's Ukraine. The UK is GB, as per ""Team GB"", even though NI* is in both",TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:08:17Z,"@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling 2/2 If a united Ireland comes into being then there is no Northern Ireland because it would simply be Ulster, just as there is no Southern Ireland, because  NI is the NE corner, never was anywhere near 50/50 or an EW border, and Malin Head is in Ireland (Rep of).",TweetDeck
241257933,1.25E+18,2020-04-26T11:23:50Z,"@niscratz @ConorC @dublincycling @IBIKEDublin @dublincycling @IBIKEDublin Nice one Aoife. Task for Councils; how to increase cycling/walking exits from estates and cul-de-sacs. Every urban child, at least, should have a safe cycle route to school.
#SmartCity",Twitter for iPad
253155987,1.25E+18,2020-04-26T11:13:01Z,"@Niall_Sargent @dublincycling @mhdelaney @IBIKEDublin @cyclistie I use this route daily to get to work. You can add the fact that you need to keep dodging all the holes on the street which, which is quite dangerous in such narrow lanes",Twitter for Android
54909015,1.25E+18,2020-04-26T10:59:52Z,@niscratz @ConorC @dublincycling @IBIKEDublin Definitely a great way to do a permeability study in your neighborhood 👍🏻,Twitter Web App
2579114113,1.25E+18,2020-04-26T10:30:00Z,"🚲 PUBLICATION ALERT: Pt 1 of @mhdelaney investigation into dangerous junctions &amp; roads for cyclists comes out after midnight!

👀 SNEAK PEAK: Alan Downey tells us about issues facing cyclists on a daily basis:

@IBIKEDublin @dublincycling @cyclistie

https://t.co/jioPArnVFf",TweetDeck
3146533538,1.25E+18,2020-04-26T10:20:02Z,"@briseglace @modacitylife @IBIKEDublin Absolutely, you would have to be earning close to 100k to be remotely comfortable, otherwise you end up marooned in suburban silos and have kiss your cycle commutes goodbye.",Twitter Web App
3146533538,1.25E+18,2020-04-26T09:58:36Z,"@briseglace @modacitylife @IBIKEDublin An amazing city. Settling, buying property and family etc....maybe not but was great in my late 20s.",Twitter Web App
3146533538,1.25E+18,2020-04-26T09:01:15Z,@modacitylife @IBIKEDublin Awww missing living in Vancouver now 🌍😍🚵‍♀️,Twitter Web App
704753,1.25E+18,2020-04-26T10:17:31Z,"@chausseedeforme @AlanDub13 @IBIKEDublin @dublincycling This from the country that doesn't let learners onto the motorways when they're supposed to have someone in the car with them, but after that when no one's there, It's party time.",Twitter Web App
